Kolom1;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed;Kolom2
262;575.0;21.0;43.0;93.0;Sanseveria;Wed Apr 10 10:08:57 2024;5,00;
266;576.0;21.0;43.0;92.0;Sanseveria;Wed Apr 10 10:08:59 2024;5,00;
270;575.0;21.0;43.0;92.0;Sanseveria;Wed Apr 10 10:09:01 2024;5,00;
271;576.0;21.0;42.0;92.0;Sanseveria;Wed Apr 10 10:09:02 2024;5,00;
272;576.0;21.0;42.0;91.0;Sanseveria;Wed Apr 10 10:09:03 2024;5,00;
274;576.0;20.6;43.0;91.0;Sanseveria;Wed Apr 10 10:09:04 2024;5,00;
275;577.0;20.6;43.0;90.0;Sanseveria;Wed Apr 10 10:09:04 2024;5,00;
276;576.0;20.6;43.0;90.0;Sanseveria;Wed Apr 10 10:09:05 2024;5,00;
278;575.0;20.6;43.0;91.0;Sanseveria;Wed Apr 10 10:09:06 2024;5,00;
282;574.0;20.6;43.0;92.0;Sanseveria;Wed Apr 10 10:09:08 2024;5,00;
283;573.0;20.6;43.0;92.0;Sanseveria;Wed Apr 10 10:09:08 2024;5,00;
286;571.0;20.2;42.0;92.0;Sanseveria;Wed Apr 10 10:09:10 2024;5,00;
287;572.0;20.2;42.0;92.0;Sanseveria;Wed Apr 10 10:09:10 2024;5,00;
292;572.0;20.2;42.0;93.0;Sanseveria;Wed Apr 10 10:09:13 2024;5,00;
294;571.0;20.2;42.0;93.0;Sanseveria;Wed Apr 10 10:09:14 2024;5,00;
296;571.0;19.8;42.0;93.0;Sanseveria;Wed Apr 10 10:09:15 2024;5,00;
297;570.0;19.8;42.0;93.0;Sanseveria;Wed Apr 10 10:09:16 2024;5,00;
298;571.0;19.8;41.0;93.0;Sanseveria;Wed Apr 10 10:09:16 2024;5,00;
303;570.0;19.8;41.0;93.0;Sanseveria;Wed Apr 10 10:09:19 2024;5,00;
305;569.0;19.8;41.0;93.0;Sanseveria;Wed Apr 10 10:09:20 2024;5,00;
306;568.0;19.8;41.0;93.0;Sanseveria;Wed Apr 10 10:09:20 2024;5,00;
310;568.0;19.4;41.0;93.0;Sanseveria;Wed Apr 10 10:09:22 2024;5,00;
311;567.0;19.4;41.0;93.0;Sanseveria;Wed Apr 10 10:09:23 2024;5,00;
312;566.0;19.4;41.0;93.0;Sanseveria;Wed Apr 10 10:09:24 2024;5,00;
314;567.0;19.4;40.0;93.0;Sanseveria;Wed Apr 10 10:09:25 2024;5,00;
316;565.0;19.4;40.0;93.0;Sanseveria;Wed Apr 10 10:09:26 2024;5,00;
317;566.0;19.4;40.0;93.0;Sanseveria;Wed Apr 10 10:09:26 2024;5,00;
318;564.0;19.4;40.0;93.0;Sanseveria;Wed Apr 10 10:09:27 2024;5,00;
319;605.0;19.0;40.0;82.0;Sanseveria;Wed Apr 10 10:09:27 2024;5,00;
320;568.0;19.0;40.0;81.0;Sanseveria;Wed Apr 10 10:09:28 2024;5,00;
321;582.0;19.0;40.0;93.0;Sanseveria;Wed Apr 10 10:09:28 2024;5,00;
322;585.0;19.0;40.0;89.0;Sanseveria;Wed Apr 10 10:09:29 2024;5,00;
324;578.0;19.0;40.0;96.0;Sanseveria;Wed Apr 10 10:09:30 2024;5,00;
325;579.0;19.0;40.0;96.0;Sanseveria;Wed Apr 10 10:09:30 2024;5,00;
326;584.0;19.0;40.0;92.0;Sanseveria;Wed Apr 10 10:09:31 2024;5,00;
327;585.0;19.0;40.0;90.0;Sanseveria;Wed Apr 10 10:09:31 2024;5,00;
328;589.0;19.0;40.0;86.0;Sanseveria;Wed Apr 10 10:09:32 2024;5,00;
330;588.0;19.0;40.0;88.0;Sanseveria;Wed Apr 10 10:09:33 2024;5,00;
331;588.0;18.6;40.0;87.0;Sanseveria;Wed Apr 10 10:09:33 2024;5,00;
332;594.0;18.6;40.0;82.0;Sanseveria;Wed Apr 10 10:09:34 2024;5,00;
335;595.0;18.6;40.0;82.0;Sanseveria;Wed Apr 10 10:09:36 2024;5,00;
336;595.0;18.6;40.0;83.0;Sanseveria;Wed Apr 10 10:09:36 2024;5,00;
338;586.0;18.6;40.0;91.0;Sanseveria;Wed Apr 10 10:09:37 2024;5,00;
339;593.0;18.6;40.0;83.0;Sanseveria;Wed Apr 10 10:09:38 2024;5,00;
340;587.0;18.6;40.0;89.0;Sanseveria;Wed Apr 10 10:09:38 2024;5,00;
341;586.0;18.6;40.0;90.0;Sanseveria;Wed Apr 10 10:09:39 2024;5,00;
342;589.0;18.2;40.0;88.0;Sanseveria;Wed Apr 10 10:09:39 2024;5,00;
343;590.0;18.2;39.0;87.0;Sanseveria;Wed Apr 10 10:09:40 2024;5,00;
344;587.0;18.2;39.0;90.0;Sanseveria;Wed Apr 10 10:09:40 2024;5,00;
345;584.0;18.2;39.0;92.0;Sanseveria;Wed Apr 10 10:09:41 2024;5,00;
347;584.0;18.2;39.0;93.0;Sanseveria;Wed Apr 10 10:09:42 2024;5,00;
350;586.0;18.2;39.0;92.0;Sanseveria;Wed Apr 10 10:09:43 2024;5,00;
353;585.0;18.2;39.0;92.0;Sanseveria;Wed Apr 10 10:09:45 2024;5,00;
358;585.0;17.8;39.0;93.0;Sanseveria;Wed Apr 10 10:09:48 2024;5,00;
360;586.0;17.8;39.0;93.0;Sanseveria;Wed Apr 10 10:09:49 2024;5,00;
364;587.0;17.8;39.0;93.0;Sanseveria;Wed Apr 10 10:09:51 2024;5,00;
365;588.0;17.8;39.0;93.0;Sanseveria;Wed Apr 10 10:09:51 2024;5,00;
367;588.0;17.4;39.0;93.0;Sanseveria;Wed Apr 10 10:09:52 2024;5,00;
370;589.0;17.4;39.0;93.0;Sanseveria;Wed Apr 10 10:09:54 2024;5,00;
372;589.0;17.4;38.0;93.0;Sanseveria;Wed Apr 10 10:09:55 2024;5,00;
373;589.0;17.4;38.0;94.0;Sanseveria;Wed Apr 10 10:09:55 2024;5,00;
375;590.0;17.4;38.0;93.0;Sanseveria;Wed Apr 10 10:09:57 2024;5,00;
377;590.0;17.4;38.0;94.0;Sanseveria;Wed Apr 10 10:09:58 2024;5,00;
379;590.0;17.0;38.0;94.0;Sanseveria;Wed Apr 10 10:09:59 2024;5,00;
380;591.0;17.0;38.0;94.0;Sanseveria;Wed Apr 10 10:09:59 2024;5,00;
381;592.0;17.0;38.0;93.0;Sanseveria;Wed Apr 10 10:10:00 2024;5,00;
382;592.0;17.0;38.0;94.0;Sanseveria;Wed Apr 10 10:10:00 2024;5,00;
384;593.0;17.0;38.0;94.0;Sanseveria;Wed Apr 10 10:10:01 2024;5,00;
387;594.0;17.0;38.0;93.0;Sanseveria;Wed Apr 10 10:10:03 2024;5,00;
388;595.0;17.0;38.0;93.0;Sanseveria;Wed Apr 10 10:10:03 2024;5,00;
389;596.0;17.0;38.0;93.0;Sanseveria;Wed Apr 10 10:10:04 2024;5,00;
390;596.0;16.6;38.0;93.0;Sanseveria;Wed Apr 10 10:10:04 2024;5,00;
393;597.0;16.6;38.0;93.0;Sanseveria;Wed Apr 10 10:10:06 2024;5,00;
394;615.0;16.6;38.0;84.0;Sanseveria;Wed Apr 10 10:10:06 2024;4,20;
395;603.0;16.6;38.0;80.0;Sanseveria;Wed Apr 10 10:10:07 2024;4,20;
396;606.0;16.6;38.0;82.0;Sanseveria;Wed Apr 10 10:10:08 2024;4,20;
401;607.0;16.6;38.0;82.0;Sanseveria;Wed Apr 10 10:10:10 2024;4,20;
402;575.0;15.2;43.0;72.0;Sanseveria;Wed Apr 10 10:10:43 2024;4,50;
403;576.0;15.2;44.0;50.0;Sanseveria;Wed Apr 10 10:10:44 2024;4,50;
404;582.0;15.2;45.0;72.0;Sanseveria;Wed Apr 10 10:10:44 2024;4,50;
405;572.0;15.2;45.0;68.0;Sanseveria;Wed Apr 10 10:10:45 2024;4,30;
406;578.0;15.3;45.0;67.0;Sanseveria;Wed Apr 10 10:10:45 2024;4,30;
407;580.0;15.7;45.0;66.0;Sanseveria;Wed Apr 10 10:10:46 2024;4,30;
408;588.0;15.7;45.0;56.0;Sanseveria;Wed Apr 10 10:10:46 2024;3,70;
409;576.0;15.7;46.0;65.0;Sanseveria;Wed Apr 10 10:10:47 2024;4,30;
410;577.0;15.7;46.0;66.0;Sanseveria;Wed Apr 10 10:10:47 2024;4,30;
411;579.0;15.7;46.0;66.0;Sanseveria;Wed Apr 10 10:10:48 2024;4,30;
412;550.0;15.7;46.0;64.0;Sanseveria;Wed Apr 10 10:10:49 2024;4,00;
413;536.0;15.7;46.0;68.0;Sanseveria;Wed Apr 10 10:10:49 2024;4,00;
414;552.0;15.7;46.0;70.0;Sanseveria;Wed Apr 10 10:10:50 2024;4,00;
415;554.0;16.1;45.0;70.0;Sanseveria;Wed Apr 10 10:10:50 2024;4,00;
416;584.0;16.1;46.0;69.0;Sanseveria;Wed Apr 10 10:10:51 2024;4,00;
417;589.0;16.1;46.0;71.0;Sanseveria;Wed Apr 10 10:10:51 2024;4,00;
419;589.0;16.1;46.0;72.0;Sanseveria;Wed Apr 10 10:10:52 2024;4,00;
420;590.0;16.1;47.0;71.0;Sanseveria;Wed Apr 10 10:10:53 2024;4,00;
421;590.0;16.6;47.0;71.0;Sanseveria;Wed Apr 10 10:10:53 2024;4,00;
422;590.0;16.6;47.0;72.0;Sanseveria;Wed Apr 10 10:10:54 2024;4,00;
424;589.0;16.6;47.0;72.0;Sanseveria;Wed Apr 10 10:10:55 2024;4,00;
425;589.0;16.6;48.0;72.0;Sanseveria;Wed Apr 10 10:10:55 2024;4,00;
427;589.0;16.6;48.0;73.0;Sanseveria;Wed Apr 10 10:10:56 2024;4,00;
430;589.0;17.0;48.0;73.0;Sanseveria;Wed Apr 10 10:10:58 2024;4,00;
431;588.0;17.0;48.0;73.0;Sanseveria;Wed Apr 10 10:10:58 2024;4,00;
434;588.0;17.0;49.0;73.0;Sanseveria;Wed Apr 10 10:11:00 2024;4,00;
437;588.0;17.4;49.0;73.0;Sanseveria;Wed Apr 10 10:11:02 2024;4,00;
438;587.0;17.4;49.0;73.0;Sanseveria;Wed Apr 10 10:11:02 2024;4,00;
441;587.0;17.4;50.0;73.0;Sanseveria;Wed Apr 10 10:11:04 2024;4,00;
444;580.0;17.8;50.0;73.0;Sanseveria;Wed Apr 10 10:11:05 2024;4,00;
445;584.0;17.8;50.0;73.0;Sanseveria;Wed Apr 10 10:11:06 2024;4,00;
447;585.0;17.8;50.0;73.0;Sanseveria;Wed Apr 10 10:11:07 2024;4,00;
448;586.0;17.8;50.0;73.0;Sanseveria;Wed Apr 10 10:11:07 2024;4,00;
449;587.0;18.2;50.0;73.0;Sanseveria;Wed Apr 10 10:11:08 2024;4,00;
454;588.0;18.2;51.0;73.0;Sanseveria;Wed Apr 10 10:11:11 2024;4,00;
455;589.0;18.2;51.0;73.0;Sanseveria;Wed Apr 10 10:11:11 2024;4,00;
456;589.0;18.6;52.0;73.0;Sanseveria;Wed Apr 10 10:11:12 2024;4,00;
460;590.0;18.6;52.0;73.0;Sanseveria;Wed Apr 10 10:11:14 2024;4,00;
461;591.0;18.6;52.0;73.0;Sanseveria;Wed Apr 10 10:11:14 2024;4,00;
