;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed
130;599.0;22.2;47.0;88.0;Sanseveria;Wed Apr 10 10:08:36 2024;4
131;598.0;22.2;47.0;88.0;Sanseveria;Wed Apr 10 10:08:37 2024;4
132;579.0;22.2;47.0;88.0;Sanseveria;Wed Apr 10 10:08:37 2024;4
133;551.0;22.2;47.0;88.0;Sanseveria;Wed Apr 10 10:08:38 2024;4
134;535.0;22.2;47.0;76.0;Sanseveria;Wed Apr 10 10:08:38 2024;4
135;558.0;22.2;47.0;86.0;Sanseveria;Wed Apr 10 10:08:39 2024;4
136;584.0;22.2;47.0;82.0;Sanseveria;Wed Apr 10 10:08:39 2024;4
137;587.0;22.2;47.0;82.0;Sanseveria;Wed Apr 10 10:08:40 2024;4
138;588.0;22.2;47.0;82.0;Sanseveria;Wed Apr 10 10:08:41 2024;4
139;588.0;22.2;46.0;83.0;Sanseveria;Wed Apr 10 10:08:42 2024;4
140;587.0;22.2;46.0;83.0;Sanseveria;Wed Apr 10 10:08:42 2024;4
141;587.0;22.2;46.0;82.0;Sanseveria;Wed Apr 10 10:08:43 2024;4
142;588.0;22.2;46.0;82.0;Sanseveria;Wed Apr 10 10:08:43 2024;4
143;590.0;21.8;46.0;79.0;Sanseveria;Wed Apr 10 10:08:44 2024;4
144;590.0;21.8;46.0;80.0;Sanseveria;Wed Apr 10 10:08:44 2024;4
145;588.0;21.8;45.0;80.0;Sanseveria;Wed Apr 10 10:08:45 2024;4
146;587.0;21.8;45.0;82.0;Sanseveria;Wed Apr 10 10:08:46 2024;4
147;590.0;21.8;45.0;78.0;Sanseveria;Wed Apr 10 10:08:46 2024;4
148;591.0;21.8;45.0;76.0;Sanseveria;Wed Apr 10 10:08:47 2024;4
149;589.0;21.8;45.0;79.0;Sanseveria;Wed Apr 10 10:08:48 2024;4
150;588.0;21.8;44.0;81.0;Sanseveria;Wed Apr 10 10:08:48 2024;3.9
151;583.0;21.8;44.0;87.0;Sanseveria;Wed Apr 10 10:08:49 2024;3.9
152;584.0;21.8;44.0;86.0;Sanseveria;Wed Apr 10 10:08:50 2024;3.9
153;584.0;21.8;44.0;85.0;Sanseveria;Wed Apr 10 10:08:50 2024;3.9
154;582.0;21.4;44.0;88.0;Sanseveria;Wed Apr 10 10:08:51 2024;3.9
155;581.0;21.4;44.0;88.0;Sanseveria;Wed Apr 10 10:08:52 2024;3.9
156;580.0;21.4;44.0;89.0;Sanseveria;Wed Apr 10 10:08:53 2024;3.9
157;579.0;21.4;44.0;89.0;Sanseveria;Wed Apr 10 10:08:53 2024;3.9
158;579.0;21.4;44.0;90.0;Sanseveria;Wed Apr 10 10:08:54 2024;5
159;578.0;21.4;44.0;91.0;Sanseveria;Wed Apr 10 10:08:54 2024;5
160;577.0;21.4;44.0;91.0;Sanseveria;Wed Apr 10 10:08:55 2024;5
161;577.0;21.4;44.0;92.0;Sanseveria;Wed Apr 10 10:08:55 2024;5
162;576.0;21.4;43.0;92.0;Sanseveria;Wed Apr 10 10:08:56 2024;5
163;576.0;21.4;43.0;93.0;Sanseveria;Wed Apr 10 10:08:57 2024;5
164;575.0;21.0;43.0;93.0;Sanseveria;Wed Apr 10 10:08:57 2024;5
165;576.0;21.0;43.0;92.0;Sanseveria;Wed Apr 10 10:08:59 2024;5
166;575.0;21.0;43.0;92.0;Sanseveria;Wed Apr 10 10:09:01 2024;5
167;576.0;21.0;42.0;92.0;Sanseveria;Wed Apr 10 10:09:02 2024;5
168;576.0;21.0;42.0;91.0;Sanseveria;Wed Apr 10 10:09:03 2024;5
169;576.0;20.6;43.0;91.0;Sanseveria;Wed Apr 10 10:09:04 2024;5
170;577.0;20.6;43.0;90.0;Sanseveria;Wed Apr 10 10:09:04 2024;5
171;576.0;20.6;43.0;90.0;Sanseveria;Wed Apr 10 10:09:05 2024;5
172;575.0;20.6;43.0;91.0;Sanseveria;Wed Apr 10 10:09:06 2024;5
173;574.0;20.6;43.0;92.0;Sanseveria;Wed Apr 10 10:09:08 2024;5
174;573.0;20.6;43.0;92.0;Sanseveria;Wed Apr 10 10:09:08 2024;5
175;571.0;20.2;42.0;92.0;Sanseveria;Wed Apr 10 10:09:10 2024;5
176;572.0;20.2;42.0;92.0;Sanseveria;Wed Apr 10 10:09:10 2024;5
177;572.0;20.2;42.0;93.0;Sanseveria;Wed Apr 10 10:09:13 2024;5
178;571.0;20.2;42.0;93.0;Sanseveria;Wed Apr 10 10:09:14 2024;5
179;571.0;19.8;42.0;93.0;Sanseveria;Wed Apr 10 10:09:15 2024;5
180;570.0;19.8;42.0;93.0;Sanseveria;Wed Apr 10 10:09:16 2024;5
181;571.0;19.8;41.0;93.0;Sanseveria;Wed Apr 10 10:09:16 2024;5
182;570.0;19.8;41.0;93.0;Sanseveria;Wed Apr 10 10:09:19 2024;5
183;569.0;19.8;41.0;93.0;Sanseveria;Wed Apr 10 10:09:20 2024;5
184;568.0;19.8;41.0;93.0;Sanseveria;Wed Apr 10 10:09:20 2024;5
185;568.0;19.4;41.0;93.0;Sanseveria;Wed Apr 10 10:09:22 2024;5
186;567.0;19.4;41.0;93.0;Sanseveria;Wed Apr 10 10:09:23 2024;5
187;566.0;19.4;41.0;93.0;Sanseveria;Wed Apr 10 10:09:24 2024;5
188;567.0;19.4;40.0;93.0;Sanseveria;Wed Apr 10 10:09:25 2024;5
189;565.0;19.4;40.0;93.0;Sanseveria;Wed Apr 10 10:09:26 2024;5
190;566.0;19.4;40.0;93.0;Sanseveria;Wed Apr 10 10:09:26 2024;5
191;564.0;19.4;40.0;93.0;Sanseveria;Wed Apr 10 10:09:27 2024;5
192;605.0;19.0;40.0;82.0;Sanseveria;Wed Apr 10 10:09:27 2024;5
193;568.0;19.0;40.0;81.0;Sanseveria;Wed Apr 10 10:09:28 2024;5
194;582.0;19.0;40.0;93.0;Sanseveria;Wed Apr 10 10:09:28 2024;5
195;585.0;19.0;40.0;89.0;Sanseveria;Wed Apr 10 10:09:29 2024;5
196;578.0;19.0;40.0;96.0;Sanseveria;Wed Apr 10 10:09:30 2024;5
