Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
695.0,22.2,58.0,71.0,Sanseveria,Wed Apr 10 10:04:09 2024
693.0,22.2,58.0,71.0,Sanseveria,Wed Apr 10 10:04:10 2024
694.0,22.2,58.0,70.0,Sanseveria,Wed Apr 10 10:04:10 2024
694.0,22.6,58.0,71.0,Sanseveria,Wed Apr 10 10:04:11 2024
695.0,22.6,58.0,71.0,Sanseveria,Wed Apr 10 10:04:12 2024
697.0,22.6,58.0,70.0,Sanseveria,Wed Apr 10 10:04:12 2024
698.0,22.6,58.0,70.0,Sanseveria,Wed Apr 10 10:04:13 2024
698.0,22.6,58.0,70.0,Sanseveria,Wed Apr 10 10:04:13 2024
700.0,22.6,58.0,70.0,Sanseveria,Wed Apr 10 10:04:14 2024
700.0,23.0,58.0,70.0,Sanseveria,Wed Apr 10 10:04:14 2024
700.0,23.0,58.0,70.0,Sanseveria,Wed Apr 10 10:04:15 2024
700.0,23.0,58.0,70.0,Sanseveria,Wed Apr 10 10:04:15 2024
699.0,23.0,58.0,70.0,Sanseveria,Wed Apr 10 10:04:16 2024
698.0,23.0,58.0,70.0,Sanseveria,Wed Apr 10 10:04:16 2024
696.0,23.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:17 2024
693.0,23.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:17 2024
690.0,23.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:18 2024
689.0,23.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:18 2024
688.0,23.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:19 2024
686.0,23.4,58.0,71.0,Sanseveria,Wed Apr 10 10:04:19 2024
683.0,23.8,58.0,71.0,Sanseveria,Wed Apr 10 10:04:20 2024
680.0,23.8,58.0,71.0,Sanseveria,Wed Apr 10 10:04:20 2024
676.0,23.8,58.0,71.0,Sanseveria,Wed Apr 10 10:04:21 2024
673.0,23.8,58.0,70.0,Sanseveria,Wed Apr 10 10:04:21 2024
670.0,23.8,57.0,71.0,Sanseveria,Wed Apr 10 10:04:22 2024
666.0,23.8,57.0,70.0,Sanseveria,Wed Apr 10 10:04:23 2024
664.0,24.1,57.0,70.0,Sanseveria,Wed Apr 10 10:04:23 2024
660.0,24.1,57.0,71.0,Sanseveria,Wed Apr 10 10:04:24 2024
656.0,24.1,57.0,71.0,Sanseveria,Wed Apr 10 10:04:24 2024
650.0,24.1,57.0,70.0,Sanseveria,Wed Apr 10 10:04:25 2024
644.0,24.1,57.0,70.0,Sanseveria,Wed Apr 10 10:04:25 2024
638.0,24.1,57.0,71.0,Sanseveria,Wed Apr 10 10:04:26 2024
628.0,24.5,57.0,70.0,Sanseveria,Wed Apr 10 10:04:26 2024
622.0,24.5,57.0,70.0,Sanseveria,Wed Apr 10 10:04:27 2024
621.0,24.5,57.0,70.0,Sanseveria,Wed Apr 10 10:04:27 2024
623.0,24.5,57.0,70.0,Sanseveria,Wed Apr 10 10:04:28 2024
621.0,24.5,57.0,70.0,Sanseveria,Wed Apr 10 10:04:28 2024
618.0,24.5,57.0,70.0,Sanseveria,Wed Apr 10 10:04:29 2024
615.0,24.8,56.0,71.0,Sanseveria,Wed Apr 10 10:04:29 2024
613.0,24.8,56.0,71.0,Sanseveria,Wed Apr 10 10:04:30 2024
609.0,24.8,56.0,71.0,Sanseveria,Wed Apr 10 10:04:30 2024
609.0,24.8,56.0,71.0,Sanseveria,Wed Apr 10 10:04:31 2024
606.0,24.8,56.0,71.0,Sanseveria,Wed Apr 10 10:04:31 2024
606.0,24.8,56.0,71.0,Sanseveria,Wed Apr 10 10:04:32 2024
605.0,25.1,56.0,70.0,Sanseveria,Wed Apr 10 10:04:32 2024
604.0,25.3,56.0,70.0,Sanseveria,Wed Apr 10 10:04:33 2024
603.0,25.3,56.0,70.0,Sanseveria,Wed Apr 10 10:04:34 2024
601.0,25.3,56.0,71.0,Sanseveria,Wed Apr 10 10:04:34 2024
593.0,25.3,56.0,70.0,Sanseveria,Wed Apr 10 10:04:35 2024
593.0,25.3,55.0,71.0,Sanseveria,Wed Apr 10 10:04:35 2024
594.0,25.3,55.0,71.0,Sanseveria,Wed Apr 10 10:04:36 2024
595.0,25.6,55.0,71.0,Sanseveria,Wed Apr 10 10:04:36 2024
592.0,25.8,55.0,71.0,Sanseveria,Wed Apr 10 10:04:37 2024
588.0,25.8,55.0,71.0,Sanseveria,Wed Apr 10 10:04:37 2024
577.0,25.8,55.0,71.0,Sanseveria,Wed Apr 10 10:04:38 2024
579.0,25.8,55.0,71.0,Sanseveria,Wed Apr 10 10:04:38 2024
574.0,25.8,55.0,71.0,Sanseveria,Wed Apr 10 10:04:39 2024
566.0,25.8,54.0,71.0,Sanseveria,Wed Apr 10 10:04:39 2024
558.0,25.8,54.0,71.0,Sanseveria,Wed Apr 10 10:04:40 2024
556.0,26.2,54.0,71.0,Sanseveria,Wed Apr 10 10:04:40 2024
561.0,26.2,54.0,71.0,Sanseveria,Wed Apr 10 10:04:41 2024
572.0,26.2,54.0,71.0,Sanseveria,Wed Apr 10 10:04:41 2024
574.0,26.2,54.0,71.0,Sanseveria,Wed Apr 10 10:04:42 2024
577.0,26.2,54.0,71.0,Sanseveria,Wed Apr 10 10:04:42 2024
577.0,26.2,54.0,71.0,Sanseveria,Wed Apr 10 10:04:43 2024
